rank,rating,date,user,content,helpful_count,images,option_info,product_name
88,3,25.07.14.,mona*****,겨드랑이 데오드란트는 20년넘게 써왓는데 바디용은 있는줄 몰랏네요 요즘 일하면서 땀엄청 흐르는데 기대해봅니다,0,https://phinf.pstatic.net/checkout.phinf/20250714_227/1752470451419B8xqC_JPEG/1000012929.jpg?type=f300_300,필수선택: 허벌향 기획팩세정력보통이에요거품적당해요촉촉함보통이에요,46cm 데오드란트 바디워시 클린솝향 600+500+30ml 기획팩
89,5,25.07.18.,mint******,"46cm 펌핑 치약을 오래 사용해서 그런가 보고 있으면 치약 이미지가 계속 떠올라서 장바구에 담아 놓고 고민하고 있었는데, 성능은 좋다는 것 같아서 구매해 봤어요.",0,https://phinf.pstatic.net/checkout.phinf/20250718_289/1752846759156Vnfm5_JPEG/1000023820.jpg?type=f300_300,필수선택: 클린솝 기획팩거품풍부해요촉촉함촉촉해요세정력아주 만족해요,46cm 데오드란트 바디워시 클린솝향 600+500+30ml 기획팩
90,5,25.07.14.,mous****,"믿음의 LG생활건강에서 나온 약산성 바디워시 시트러스 향으로 사봤는데, 약산성에다가 세정력 및 향균도 좋아서 땀을 자주 흘리는 여름철 및 남성에게 매우 좋습니다!! 향도 시트러스 향, 자몽향이 나서 매우 개운하고 부담스럽지 않아 매일 사용 중 입니다",0,https://phinf.pstatic.net/checkout.phinf/20250714_249/1752484324853csih1_JPEG/IMG_3605.jpg?type=f300_300,필수선택: 시트러스 기획팩+증정피부타입지성피지각질민감성거품풍부해요촉촉함촉촉해요세정력아주 만족해요,46cm 데오드란트 바디워시 클린솝향 600+500+30ml 기획팩
91,5,25.07.17.,euk1***,기대하던 제품인데 배송도 빠르고 좋아요. 오자마자 사용해봤는데 비누향이 은은하게 퍼져서 좋아요.,0,https://phinf.pstatic.net/checkout.phinf/20250717_299/1752741841590z53V0_JPEG/1000016865.jpg?type=f300_300,필수선택: 클린솝 기획팩세정력보통이에요거품적당해요촉촉함보통이에요,46cm 데오드란트 바디워시 클린솝향 600+500+30ml 기획팩
92,4,25.06.15.,snow***,"여름 다가오고 해서 뽀송하게 좀 지내볼까 해서 구매했어요. 일단 거품은 엄청 많이 나는건 아니지만 적당하고 향도 무난해요. 거부감은 없는 향이네요.
제일 좋았던건 바디워시는 씻고 나서도 미끈거리고 뽀독한 느낌이 없어서 싫었는데. 비누로 씻은거 만큼은 아니지만 바디워시 치고는 되게 깨끗하게 씻긴다는 느낌이 들어요. 미끈하지 않고 나름 뽀독하게 씻고 나올 수 있어서 아주 좋아요. 데오드란드 역활을 하는 진 잘 모르겠지만 일단 미끈거리지 않는 것 만으로도 만족스럽네요.",1,https://phinf.pstatic.net/checkout.phinf/20250615_224/1749981251863cyFKy_JPEG/1000058214.jpg?type=f300_300,필수선택: 클린솝 기획팩피부타입복합성미백주름모공거품적당해요촉촉함보통이에요세정력아주 만족해요,46cm 데오드란트 바디워시 클린솝향 600+500+30ml 기획팩
93,4,25.07.04.,wind****,배송 빠릅니다. 샤워시 냄새로 세정력은 좋아요. 샤워후 잔향은 난다는 느낌이 확 있지 않네요. 가격대비 용량은 많지 않아요.,1,https://phinf.pstatic.net/checkout.phinf/20250704_66/1751591848233Gc9CB_JPEG/20250630_220305.jpg?type=f300_300,필수선택: 클린솝 기획팩거품풍부해요촉촉함촉촉해요세정력아주 만족해요,46cm 데오드란트 바디워시 클린솝향 600+500+30ml 기획팩
94,5,25.07.02.,dota****,"체질이 바뀌었는지 여름에 땀이 너무 나서 바디워시 바꿀 시기가 온겸에 구매했어요. 땀 억제는 아직 잘 모르겠고, 체취는 검증이 어렵네요;; 몰랐는데 스크럽 알갱이있는 제형이에요.",1,https://phinf.pstatic.net/checkout.phinf/20250702_144/175141896587899fON_JPEG/IMG_1089.jpeg?type=f300_300,필수선택: 클린솝 기획팩세정력보통이에요거품풍부해요촉촉함보통이에요,46cm 데오드란트 바디워시 클린솝향 600+500+30ml 기획팩
95,5,25.07.13.,he****,유난히 더운 여름 고민하다가 주문하고 사용했습니다. 제품그대로 데오그란트바디워시가 맞네요. 효과 최고입니다.,0,https://phinf.pstatic.net/checkout.phinf/20250713_255/1752412898464gERIg_JPEG/IMG_3722.jpeg?type=f300_300,필수선택: 클린솝 기획팩피부타입건성민감성거품풍부해요촉촉함촉촉해요세정력아주 만족해요,46cm 데오드란트 바디워시 클린솝향 600+500+30ml 기획팩
96,4,25.07.04.,wind****,배송이 빠르네요. 사용할 때 바디워시 냄새가 좋아요. 다만 샤워후 잔향이 남아 있는 부분은 잘모르겠네요.,1,https://phinf.pstatic.net/checkout.phinf/20250704_122/1751589988179JxbX1_JPEG/20250630_220840.jpg?type=f300_300,필수선택: 시트러스 기획팩거품풍부해요촉촉함촉촉해요세정력아주 만족해요,46cm 데오드란트 바디워시 클린솝향 600+500+30ml 기획팩
97,4,25.07.04.,skfk******,"배송은 역시 하루만에 왔습니다.

허벌향도 행사에 포함되어서 구매합니다",1,https://phinf.pstatic.net/checkout.phinf/20250704_140/1751611241253xVpzl_JPEG/1000007603.jpg?type=f300_300,필수선택: 허벌향 기획팩피부타입지성잡티피지모공세정력보통이에요거품적당해요촉촉함보통이에요,46cm 데오드란트 바디워시 클린솝향 600+500+30ml 기획팩
98,5,25.07.18.,blue***,"이번 기획팩 너무 좋네요 ㅎㅎ
네이버배송이 완전 빨라서 만족 합니다!",0,https://phinf.pstatic.net/checkout.phinf/20250718_122/1752795376303yUGwO_JPEG/1000023168.jpg?type=f300_300,필수선택: 허벌향 기획팩거품풍부해요촉촉함보통이에요세정력아주 만족해요,46cm 데오드란트 바디워시 클린솝향 600+500+30ml 기획팩
99,3,25.07.17.,hota******,향은 보통이고 세정력은 괜찮은거같아요. 근데 땀냄새를 줄여주는건지는 솔직히 잘 모르겠어요 ㅠ,0,https://phinf.pstatic.net/checkout.phinf/20250717_199/1752738401275u1NqJ_JPEG/image.jpg?type=f300_300,필수선택: 클린솝 기획팩세정력보통이에요거품적당해요촉촉함촉촉해요,46cm 데오드란트 바디워시 클린솝향 600+500+30ml 기획팩
100,5,25.07.14.,kink*******,기획팩으로 저렴하게 잘 구입했어요 향도 너무 좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250714_218/1752489530634XQo6V_JPEG/1000051430.jpg?type=f300_300,필수선택: 시트러스 기획팩거품풍부해요촉촉함촉촉해요세정력아주 만족해요,46cm 데오드란트 바디워시 클린솝향 600+500+30ml 기획팩
101,5,25.06.21.,adid****,"이 제품은 LG생활건강에서 나온 데오드란트 바디워시로, 클린솝향을 선택해서 사용해봤습니다. 용량이 600ml + 500ml + 30ml라서 양이 굉장히 넉넉하다는 느낌을 받았고, 사실 처음엔 단순히 향이 좋을 거라는 기대만 갖고 구매했는데, 막상 써보니 만족도가 예상보다 훨씬 높았습니다.

먼저 거품에 대해서 얘기해보자면, 진짜 풍성하게 잘 납니다. 평소에 샤워볼로 바디워시 쓸 때 거품이 잘 안 나는 제품들도 있는데, 이 제품은 손으로만 해도 부드럽고 풍성한 거품이 바로 만들어지더라고요. 그 덕분에 샤워할 때 기분이 굉장히 좋습니다. 마치 호텔 어메니티 제품 쓰는 느낌이랄까? 거품 덕분에 자극도 덜하고, 피부에 부드럽게 닿는 느낌이 참 마음에 들었습니다.

세정력도 아주 만족스러웠습니다. 땀 많이 흘리고 나서 사용했을 때도 개운하게 잘 씻기는 느낌이 들었고, 특히 겨드랑이 쪽이나 등 같은 데 찝찝함이 남지 않고 산뜻하게 마무리되는 게 너무 좋았어요. 여름철에 특히 유용한 제품이라고 생각합니다. 그리고 씻고 나서 잔향도 오래가서 좋습니다. 잔향이 진하거나 과하지 않고 은은하게 남아서, 향수 따로 안 써도 될 정도로 기분 좋게 향이 남습니다. 남녀 모두 사용할 수 있을 만큼 중성적이고 깨끗한 향입니다. 말 그대로 클린솝이라는 이름이 딱 맞는 향이에요.

촉촉함도 빼놓을 수 없습니다. 보통 세정력이 강한 제품들은 씻고 나면 피부가 건조해지기 쉬운데, 이 제품은 샤워 후에도 당김이 거의 없고 보습이 꽤 괜찮았습니다. 특히 다리나 팔 같은 데는 평소에 샤워 후 로션을 꼭 발라야 했는데, 이 제품 쓰고 나서는 간혹 로션 안 발라도 괜찮을 정도로 촉촉함이 유지되더라고요. 물론 건성피부 분들은 보습제 따로 쓰시는 게 좋겠지만, 일반적인 피부라면 이 정도 촉촉함이면 충분할 듯합니다.

그리고 또 한 가지 좋았던 건 용기 디자인이에요. 펌프형이라 사용하기 편하고, 한 손으로 눌러도 튀지 않고 적당량이 잘 나와요. 샤워 중에 미끄러질까 봐 조심스러웠는데, 그립감도 안정적이고 마감도 괜찮아서 고급스러운 느낌이 있습니다. 무게감이 어느 정도 있어서 욕실에서 잘 넘어지지도 않고요.

가성비 측면에서도 정말 만족스러웠습니다. 이 정도 용량에 이 정도 성능이면 재구매는 무조건입니다. 특히 세트로 구성되어 있어서 가족이 함께 쓰기에도 좋고, 선물용으로도 괜찮을 것 같아요. 저는 개인적으로 부모님 집에 하나 더 보내드릴까 생각 중입니다. 연령대 상관없이 누구나 무난하게 쓸 수 있는 제품이라서 선물용으로도 손색없습니다.

아, 그리고 마지막으로 언급하고 싶은 게 하나 더 있는데요. 제가 은근히 예민한 피부라 새로운 제품 쓸 때 트러블 날까 봐 조심하는 편인데, 이 제품은 전혀 그런 게 없었어요. 오히려 씻고 나서 피부 진정되는 느낌까지 들어서 만족도가 더 높았어요. 성분도 괜찮게 구성되어 있는 것 같고, 향료나 색소가 과하지 않아서 민감성 피부인 분들에게도 꽤 괜찮은 선택일 것 같습니다.

총평하자면, 데오드란트 기능이 포함된 바디워시라서 땀 냄새 걱정 줄어드는 건 기본이고, 향, 세정력, 촉촉함, 거품, 디자인, 용량, 가성비 등 전반적으로 매우 만족스러운 제품입니다. 솔직히 특별히 흠잡을 데가 없습니다. 오랜만에 '이건 무조건 재구매다' 싶은 제품을 만난 느낌이에요. 고민하시는 분들 있다면 주저 말고 한 번 써보시라고 자신 있게 추천드릴 수 있을 정도입니다.",2,https://phinf.pstatic.net/checkout.phinf/20250621_5/1750467147943BJxqq_JPEG/1000010049.jpg?type=f300_300,필수선택: 클린솝향(600ml+500ml+30ml)+타올거품풍부해요촉촉함촉촉해요세정력아주 만족해요,46cm 데오드란트 바디워시 클린솝향 600+500+30ml 기획팩
102,5,25.07.17.,noma******,"여름이라 땀냄새가 많이 나는 것 같고
바디워시도 다 떨어져가서 겸사겸사 샀습니다.
마트에서 세가지 향 직접 맡아봤는데 클린솝이 젤
맘에 들더라구요. 
소비기한 28년까지로 넉넉하고
받자마자 손만 씻어봤는데 아주 미세한 알갱이가
있어서 스크럽 효과가 있는 것 같아요.
확실이 잔향이 일반 바디나 핸드워시보다 오래 지속되는 느낌도 들었습니다.
작은건 여행갈 때 가져갈께요.",0,https://phinf.pstatic.net/checkout.phinf/20250717_173/1752734282753VyVWT_JPEG/1000009692.jpg?type=f300_300,필수선택: 클린솝 기획팩피부타입건성잡티주름민감성거품적당해요촉촉함보통이에요세정력아주 만족해요,46cm 데오드란트 바디워시 클린솝향 600+500+30ml 기획팩
103,3,25.06.29.,skfk******,"이거 사용해 보니 정말 겨드랑이 땀냄새

안나요. 시간이 오래지나면 다시 냄새가 

나기 시작하는데 이걸로도 만족합니다. 

어차피 지성피부라 아침, 저녁 두번 씻어야

되서요. 초반에 행사 할때는 허벌향은 행사에

미포함이었는데 한달 후기 쓰러 와보니 허벌향

도 기획상품에 포함되네요... 좀 늦게 구매할걸

하는 생각도 드네요. 무난한 클린솝향 구매 했

는데 이게 생각보다 향이 따뜻한 느낌이 강합니

다. 그리고 어르신들 스킨냄새와 비슷 합니다.

마트에서 행사할때 조그만 병에 향 맡아보라고

조그만병에 들은거 시향 했을때 허벌향이 그나

마 괜찮았습니다. 이번에 할인쿠폰 생기면 허벌

향으로 구매 예정입니다.",1,https://phinf.pstatic.net/checkout.phinf/20250629_207/17511929414046d6wf_JPEG/1000007221.jpg?type=f300_300,필수선택: ▶클린솝 기획팩+증정피부타입지성잡티피지모공거품적당해요촉촉함보통이에요세정력아주 만족해요,46cm 데오드란트 바디워시 클린솝향 600+500+30ml 기획팩
104,5,25.07.12.,zmfp********,"꾸준히 운동하다보니 어느 순간 온 몸의 땀구멍이 열려, 여름에도 긴팔 입다가 땀 줄줄 흘리는 사람이 되어서 구매했어요
100%는 아니지만 확실히 효과가 있어요
쓴 날과 아닌 날의 차가 커서 매일 사용하고 있습니다
몸의 땀이 억제되니 대신 머리에서 땀이 줄줄 흘러요
그만큼 효과가 좋은 것 같아요
46cm 샴푸도 있다고 해서 구매하려고요
샴푸까지 쓰면 화장실을 자주 가겠지만 벌레에 시달리는것 보다 차라리 그게 나아요",1,https://phinf.pstatic.net/checkout.phinf/20250712_193/17522856660073OVhC_JPEG/20250423_221032.jpg?type=f300_300,필수선택: ▶클린솝 기획팩+증정세정력보통이에요거품적당해요촉촉함보통이에요,46cm 데오드란트 바디워시 클린솝향 600+500+30ml 기획팩
105,5,25.07.20.,hmch****,"땀이 많이 나는 계절이라 아이들 사용토록 했는데,반응이 좋습니다. 데오드란트 바디워시 사용 후 활동하고 들어왔는데,데오드란트 향이 남아 있다네요. 빠른 배송 감사합니다!",0,https://phinf.pstatic.net/checkout.phinf/20250720_5/17529864224705IEvn_JPEG/1000015328.jpg?type=f300_300,필수선택: 클린솝 기획팩거품풍부해요촉촉함촉촉해요세정력아주 만족해요,46cm 데오드란트 바디워시 클린솝향 600+500+30ml 기획팩
106,3,25.07.12.,aktm******,"멈춰 기대한 건 아니지만  세정 효과가 좋은거 같아요.
다만 향이 약간 인위적이에요.
자연스러운 향이 좋은데 향 옵션에서 약간 아쉬워요..
그리고 데오 효과는 아주 오래 지속 되는 편은 아니에요. 
그래도 데오 제품 중에서 세정력은 최곱니다",1,https://phinf.pstatic.net/checkout.phinf/20250712_120/17522934631082YAv6_JPEG/IMG_9438.jpeg?type=f300_300,필수선택: 클린솝 기획팩피부타입건성미백거품적당해요촉촉함건조해요세정력아주 만족해요,46cm 데오드란트 바디워시 클린솝향 600+500+30ml 기획팩
107,5,25.07.01.,ma****,남편이 그린색 가민에디션을 샀는데 탈취력을 우선으로 해서 바디워시를 고르길래 이것도 추가로 사줘봅니다. 미끈한거 싫어하는 남성이 쓰기에도 좋은가봅니다. 기획패키지라 구성 많고 가격도 행사하고 좋네요. 손으로 문지르는데 알갱이가 만져진다더니 그게 모공 체취물질 닦아주는거였군요~ 신상품이라 사용기한 길어요.,1,https://phinf.pstatic.net/checkout.phinf/20250701_143/1751358096747zNli4_JPEG/1000009251.jpg?type=f300_300,필수선택: 시트러스 기획팩거품적당해요촉촉함보통이에요세정력아주 만족해요,46cm 데오드란트 바디워시 클린솝향 600+500+30ml 기획팩
108,3,25.07.14.,mona*****,겨드랑이 데오드란트는 20년넘게 써왓는데 바디용은 있는줄 몰랏네요 요즘 일하면서 땀엄청 흐르는데 기대해봅니다,0,https://phinf.pstatic.net/checkout.phinf/20250714_227/1752470451419B8xqC_JPEG/1000012929.jpg?type=f300_300,필수선택: 허벌향 기획팩세정력보통이에요거품적당해요촉촉함보통이에요,46cm 데오드란트 바디워시 클린솝향 600+500+30ml 기획팩
109,5,25.07.18.,mint******,"46cm 펌핑 치약을 오래 사용해서 그런가 보고 있으면 치약 이미지가 계속 떠올라서 장바구에 담아 놓고 고민하고 있었는데, 성능은 좋다는 것 같아서 구매해 봤어요.",0,https://phinf.pstatic.net/checkout.phinf/20250718_289/1752846759156Vnfm5_JPEG/1000023820.jpg?type=f300_300,필수선택: 클린솝 기획팩거품풍부해요촉촉함촉촉해요세정력아주 만족해요,46cm 데오드란트 바디워시 클린솝향 600+500+30ml 기획팩
110,5,25.07.14.,mous****,"믿음의 LG생활건강에서 나온 약산성 바디워시 시트러스 향으로 사봤는데, 약산성에다가 세정력 및 향균도 좋아서 땀을 자주 흘리는 여름철 및 남성에게 매우 좋습니다!! 향도 시트러스 향, 자몽향이 나서 매우 개운하고 부담스럽지 않아 매일 사용 중 입니다",0,https://phinf.pstatic.net/checkout.phinf/20250714_249/1752484324853csih1_JPEG/IMG_3605.jpg?type=f300_300,필수선택: 시트러스 기획팩+증정피부타입지성피지각질민감성거품풍부해요촉촉함촉촉해요세정력아주 만족해요,46cm 데오드란트 바디워시 클린솝향 600+500+30ml 기획팩
111,5,25.07.17.,euk1***,기대하던 제품인데 배송도 빠르고 좋아요. 오자마자 사용해봤는데 비누향이 은은하게 퍼져서 좋아요.,0,https://phinf.pstatic.net/checkout.phinf/20250717_299/1752741841590z53V0_JPEG/1000016865.jpg?type=f300_300,필수선택: 클린솝 기획팩세정력보통이에요거품적당해요촉촉함보통이에요,46cm 데오드란트 바디워시 클린솝향 600+500+30ml 기획팩
112,4,25.06.15.,snow***,"여름 다가오고 해서 뽀송하게 좀 지내볼까 해서 구매했어요. 일단 거품은 엄청 많이 나는건 아니지만 적당하고 향도 무난해요. 거부감은 없는 향이네요.
제일 좋았던건 바디워시는 씻고 나서도 미끈거리고 뽀독한 느낌이 없어서 싫었는데. 비누로 씻은거 만큼은 아니지만 바디워시 치고는 되게 깨끗하게 씻긴다는 느낌이 들어요. 미끈하지 않고 나름 뽀독하게 씻고 나올 수 있어서 아주 좋아요. 데오드란드 역활을 하는 진 잘 모르겠지만 일단 미끈거리지 않는 것 만으로도 만족스럽네요.",1,https://phinf.pstatic.net/checkout.phinf/20250615_224/1749981251863cyFKy_JPEG/1000058214.jpg?type=f300_300,필수선택: 클린솝 기획팩피부타입복합성미백주름모공거품적당해요촉촉함보통이에요세정력아주 만족해요,46cm 데오드란트 바디워시 클린솝향 600+500+30ml 기획팩
113,4,25.07.04.,wind****,배송 빠릅니다. 샤워시 냄새로 세정력은 좋아요. 샤워후 잔향은 난다는 느낌이 확 있지 않네요. 가격대비 용량은 많지 않아요.,1,https://phinf.pstatic.net/checkout.phinf/20250704_66/1751591848233Gc9CB_JPEG/20250630_220305.jpg?type=f300_300,필수선택: 클린솝 기획팩거품풍부해요촉촉함촉촉해요세정력아주 만족해요,46cm 데오드란트 바디워시 클린솝향 600+500+30ml 기획팩
114,5,25.07.02.,dota****,"체질이 바뀌었는지 여름에 땀이 너무 나서 바디워시 바꿀 시기가 온겸에 구매했어요. 땀 억제는 아직 잘 모르겠고, 체취는 검증이 어렵네요;; 몰랐는데 스크럽 알갱이있는 제형이에요.",1,https://phinf.pstatic.net/checkout.phinf/20250702_144/175141896587899fON_JPEG/IMG_1089.jpeg?type=f300_300,필수선택: 클린솝 기획팩세정력보통이에요거품풍부해요촉촉함보통이에요,46cm 데오드란트 바디워시 클린솝향 600+500+30ml 기획팩
115,5,25.07.13.,he****,유난히 더운 여름 고민하다가 주문하고 사용했습니다. 제품그대로 데오그란트바디워시가 맞네요. 효과 최고입니다.,0,https://phinf.pstatic.net/checkout.phinf/20250713_255/1752412898464gERIg_JPEG/IMG_3722.jpeg?type=f300_300,필수선택: 클린솝 기획팩피부타입건성민감성거품풍부해요촉촉함촉촉해요세정력아주 만족해요,46cm 데오드란트 바디워시 클린솝향 600+500+30ml 기획팩
116,4,25.07.04.,wind****,배송이 빠르네요. 사용할 때 바디워시 냄새가 좋아요. 다만 샤워후 잔향이 남아 있는 부분은 잘모르겠네요.,1,https://phinf.pstatic.net/checkout.phinf/20250704_122/1751589988179JxbX1_JPEG/20250630_220840.jpg?type=f300_300,필수선택: 시트러스 기획팩거품풍부해요촉촉함촉촉해요세정력아주 만족해요,46cm 데오드란트 바디워시 클린솝향 600+500+30ml 기획팩
117,4,25.07.04.,skfk******,"배송은 역시 하루만에 왔습니다.

허벌향도 행사에 포함되어서 구매합니다",1,https://phinf.pstatic.net/checkout.phinf/20250704_140/1751611241253xVpzl_JPEG/1000007603.jpg?type=f300_300,필수선택: 허벌향 기획팩피부타입지성잡티피지모공세정력보통이에요거품적당해요촉촉함보통이에요,46cm 데오드란트 바디워시 클린솝향 600+500+30ml 기획팩
118,5,25.07.18.,blue***,"이번 기획팩 너무 좋네요 ㅎㅎ
네이버배송이 완전 빨라서 만족 합니다!",0,https://phinf.pstatic.net/checkout.phinf/20250718_122/1752795376303yUGwO_JPEG/1000023168.jpg?type=f300_300,필수선택: 허벌향 기획팩거품풍부해요촉촉함보통이에요세정력아주 만족해요,46cm 데오드란트 바디워시 클린솝향 600+500+30ml 기획팩
119,3,25.07.17.,hota******,향은 보통이고 세정력은 괜찮은거같아요. 근데 땀냄새를 줄여주는건지는 솔직히 잘 모르겠어요 ㅠ,0,https://phinf.pstatic.net/checkout.phinf/20250717_199/1752738401275u1NqJ_JPEG/image.jpg?type=f300_300,필수선택: 클린솝 기획팩세정력보통이에요거품적당해요촉촉함촉촉해요,46cm 데오드란트 바디워시 클린솝향 600+500+30ml 기획팩
120,5,25.07.14.,kink*******,기획팩으로 저렴하게 잘 구입했어요 향도 너무 좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250714_218/1752489530634XQo6V_JPEG/1000051430.jpg?type=f300_300,필수선택: 시트러스 기획팩거품풍부해요촉촉함촉촉해요세정력아주 만족해요,46cm 데오드란트 바디워시 클린솝향 600+500+30ml 기획팩
121,5,25.06.21.,adid****,"이 제품은 LG생활건강에서 나온 데오드란트 바디워시로, 클린솝향을 선택해서 사용해봤습니다. 용량이 600ml + 500ml + 30ml라서 양이 굉장히 넉넉하다는 느낌을 받았고, 사실 처음엔 단순히 향이 좋을 거라는 기대만 갖고 구매했는데, 막상 써보니 만족도가 예상보다 훨씬 높았습니다.

먼저 거품에 대해서 얘기해보자면, 진짜 풍성하게 잘 납니다. 평소에 샤워볼로 바디워시 쓸 때 거품이 잘 안 나는 제품들도 있는데, 이 제품은 손으로만 해도 부드럽고 풍성한 거품이 바로 만들어지더라고요. 그 덕분에 샤워할 때 기분이 굉장히 좋습니다. 마치 호텔 어메니티 제품 쓰는 느낌이랄까? 거품 덕분에 자극도 덜하고, 피부에 부드럽게 닿는 느낌이 참 마음에 들었습니다.

세정력도 아주 만족스러웠습니다. 땀 많이 흘리고 나서 사용했을 때도 개운하게 잘 씻기는 느낌이 들었고, 특히 겨드랑이 쪽이나 등 같은 데 찝찝함이 남지 않고 산뜻하게 마무리되는 게 너무 좋았어요. 여름철에 특히 유용한 제품이라고 생각합니다. 그리고 씻고 나서 잔향도 오래가서 좋습니다. 잔향이 진하거나 과하지 않고 은은하게 남아서, 향수 따로 안 써도 될 정도로 기분 좋게 향이 남습니다. 남녀 모두 사용할 수 있을 만큼 중성적이고 깨끗한 향입니다. 말 그대로 클린솝이라는 이름이 딱 맞는 향이에요.

촉촉함도 빼놓을 수 없습니다. 보통 세정력이 강한 제품들은 씻고 나면 피부가 건조해지기 쉬운데, 이 제품은 샤워 후에도 당김이 거의 없고 보습이 꽤 괜찮았습니다. 특히 다리나 팔 같은 데는 평소에 샤워 후 로션을 꼭 발라야 했는데, 이 제품 쓰고 나서는 간혹 로션 안 발라도 괜찮을 정도로 촉촉함이 유지되더라고요. 물론 건성피부 분들은 보습제 따로 쓰시는 게 좋겠지만, 일반적인 피부라면 이 정도 촉촉함이면 충분할 듯합니다.

그리고 또 한 가지 좋았던 건 용기 디자인이에요. 펌프형이라 사용하기 편하고, 한 손으로 눌러도 튀지 않고 적당량이 잘 나와요. 샤워 중에 미끄러질까 봐 조심스러웠는데, 그립감도 안정적이고 마감도 괜찮아서 고급스러운 느낌이 있습니다. 무게감이 어느 정도 있어서 욕실에서 잘 넘어지지도 않고요.

가성비 측면에서도 정말 만족스러웠습니다. 이 정도 용량에 이 정도 성능이면 재구매는 무조건입니다. 특히 세트로 구성되어 있어서 가족이 함께 쓰기에도 좋고, 선물용으로도 괜찮을 것 같아요. 저는 개인적으로 부모님 집에 하나 더 보내드릴까 생각 중입니다. 연령대 상관없이 누구나 무난하게 쓸 수 있는 제품이라서 선물용으로도 손색없습니다.

아, 그리고 마지막으로 언급하고 싶은 게 하나 더 있는데요. 제가 은근히 예민한 피부라 새로운 제품 쓸 때 트러블 날까 봐 조심하는 편인데, 이 제품은 전혀 그런 게 없었어요. 오히려 씻고 나서 피부 진정되는 느낌까지 들어서 만족도가 더 높았어요. 성분도 괜찮게 구성되어 있는 것 같고, 향료나 색소가 과하지 않아서 민감성 피부인 분들에게도 꽤 괜찮은 선택일 것 같습니다.

총평하자면, 데오드란트 기능이 포함된 바디워시라서 땀 냄새 걱정 줄어드는 건 기본이고, 향, 세정력, 촉촉함, 거품, 디자인, 용량, 가성비 등 전반적으로 매우 만족스러운 제품입니다. 솔직히 특별히 흠잡을 데가 없습니다. 오랜만에 '이건 무조건 재구매다' 싶은 제품을 만난 느낌이에요. 고민하시는 분들 있다면 주저 말고 한 번 써보시라고 자신 있게 추천드릴 수 있을 정도입니다.",2,https://phinf.pstatic.net/checkout.phinf/20250621_5/1750467147943BJxqq_JPEG/1000010049.jpg?type=f300_300,필수선택: 클린솝향(600ml+500ml+30ml)+타올거품풍부해요촉촉함촉촉해요세정력아주 만족해요,46cm 데오드란트 바디워시 클린솝향 600+500+30ml 기획팩
122,5,25.07.17.,noma******,"여름이라 땀냄새가 많이 나는 것 같고
바디워시도 다 떨어져가서 겸사겸사 샀습니다.
마트에서 세가지 향 직접 맡아봤는데 클린솝이 젤
맘에 들더라구요. 
소비기한 28년까지로 넉넉하고
받자마자 손만 씻어봤는데 아주 미세한 알갱이가
있어서 스크럽 효과가 있는 것 같아요.
확실이 잔향이 일반 바디나 핸드워시보다 오래 지속되는 느낌도 들었습니다.
작은건 여행갈 때 가져갈께요.",0,https://phinf.pstatic.net/checkout.phinf/20250717_173/1752734282753VyVWT_JPEG/1000009692.jpg?type=f300_300,필수선택: 클린솝 기획팩피부타입건성잡티주름민감성거품적당해요촉촉함보통이에요세정력아주 만족해요,46cm 데오드란트 바디워시 클린솝향 600+500+30ml 기획팩
123,3,25.06.29.,skfk******,"이거 사용해 보니 정말 겨드랑이 땀냄새

안나요. 시간이 오래지나면 다시 냄새가 

나기 시작하는데 이걸로도 만족합니다. 

어차피 지성피부라 아침, 저녁 두번 씻어야

되서요. 초반에 행사 할때는 허벌향은 행사에

미포함이었는데 한달 후기 쓰러 와보니 허벌향

도 기획상품에 포함되네요... 좀 늦게 구매할걸

하는 생각도 드네요. 무난한 클린솝향 구매 했

는데 이게 생각보다 향이 따뜻한 느낌이 강합니

다. 그리고 어르신들 스킨냄새와 비슷 합니다.

마트에서 행사할때 조그만 병에 향 맡아보라고

조그만병에 들은거 시향 했을때 허벌향이 그나

마 괜찮았습니다. 이번에 할인쿠폰 생기면 허벌

향으로 구매 예정입니다.",1,https://phinf.pstatic.net/checkout.phinf/20250629_207/17511929414046d6wf_JPEG/1000007221.jpg?type=f300_300,필수선택: ▶클린솝 기획팩+증정피부타입지성잡티피지모공거품적당해요촉촉함보통이에요세정력아주 만족해요,46cm 데오드란트 바디워시 클린솝향 600+500+30ml 기획팩
124,5,25.07.12.,zmfp********,"꾸준히 운동하다보니 어느 순간 온 몸의 땀구멍이 열려, 여름에도 긴팔 입다가 땀 줄줄 흘리는 사람이 되어서 구매했어요
100%는 아니지만 확실히 효과가 있어요
쓴 날과 아닌 날의 차가 커서 매일 사용하고 있습니다
몸의 땀이 억제되니 대신 머리에서 땀이 줄줄 흘러요
그만큼 효과가 좋은 것 같아요
46cm 샴푸도 있다고 해서 구매하려고요
샴푸까지 쓰면 화장실을 자주 가겠지만 벌레에 시달리는것 보다 차라리 그게 나아요",1,https://phinf.pstatic.net/checkout.phinf/20250712_193/17522856660073OVhC_JPEG/20250423_221032.jpg?type=f300_300,필수선택: ▶클린솝 기획팩+증정세정력보통이에요거품적당해요촉촉함보통이에요,46cm 데오드란트 바디워시 클린솝향 600+500+30ml 기획팩
