rank,rating,date,user,content,helpful_count,images,option_info,product_name
178,4,25.07.04.,wind****,배송 빠르고 구성이 가정에서 자주 사용하는 걸로 되어 있어서 좋아요.,0,https://phinf.pstatic.net/checkout.phinf/20250704_93/1751590129315Q1wmJ_JPEG/20250630_220610.jpg?type=f300_300,옵션: 다목적세정제 세트,한입 베이킹소다 2KG + 구연산 1KG + 과탄산소다 1KG 다목적세정제 세트
179,5,25.07.21.,se****,감사합니다 수고하세요,0,https://phinf.pstatic.net/checkout.phinf/20250721_165/1753068099142INqu9_JPEG/20250720_113830.jpg?type=f300_300,옵션: 다목적세정제 세트,한입 베이킹소다 2KG + 구연산 1KG + 과탄산소다 1KG 다목적세정제 세트
180,5,25.07.10.,autu*****,항상 쓰는 조합이라 뭐 말 할 것도 없지요. 좋습니다. 2번째 구매네요.,0,https://phinf.pstatic.net/checkout.phinf/20250710_126/17520778616967s1L6_JPEG/image.jpg?type=f300_300,옵션: 다목적세정제 세트,한입 베이킹소다 2KG + 구연산 1KG + 과탄산소다 1KG 다목적세정제 세트
181,5,25.06.20.,thdn******,"✅ 구매 계기
주방과 욕실, 세탁기 청소까지 가능한 다목적 세정제가 필요해서 찾다가
LG생활건강의 **한입 100% 다목적 세정제 세트(베이킹소다+구연산+과탄산소다)**를 선택하게 됐어요.
✓ 식품첨가물 등급으로 안심 사용 가능하다는 점
✓ 표백, 탈취, 청소까지 한 번에 가능하다는 점이 마음에 들었습니다.

✅ 사용 방법

베이킹소다: 설거지 전 기름때 닦기 / 냄비 눌은 자국 제거 / 배수구 청소

구연산: 욕실 물때, 섬유유연통, 샤워기 헤드 석회질 제거

과탄산소다: 커피·옷 얼룩 표백, 행주 삶기, 세탁기 세척 등

모두 분말 형태라 계량스푼으로 필요한 양만큼 덜어 사용하면 됩니다.
뜨거운 물에 잘 녹고, 냄새 자극도 전혀 없어요.

✅ 실사용 후기
3종 세트로 구성되어 있어서 용도별로 따로 구매할 필요가 없어 정말 실용적이에요.
베이킹소다는 주방 기름때나 도마 세척에 부드럽게 작용하고,
구연산은 욕실 청소할 때 물때가 확실히 잘 녹아 내려서 손이 덜 가요.
가장 만족한 건 과탄산소다!
세탁기와 수건 삶기용으로 썼는데, 뽀송하고 깨끗하게 살균된 느낌이 확실히 들었어요.
무향이라 자극 없고, 다목적으로 다양하게 사용할 수 있어 집에 구비해두기 딱입니다.

✅ 포장 & 배송
✓ 각각 지퍼백 포장으로 밀봉 상태가 우수
✓ 1~2kg 대용량인데도 부피가 부담스럽지 않음
✓ 깔끔하고 설명도 잘 되어 있어 처음 쓰는 사람도 쉽게 접근 가능해요.

✅ 총평
✓ 세정력, 탈취력, 살균력 모두 잡은 가성비 세정제
✓ 자극 없는 천연 성분으로 안심 사용
✓ 용도별 구성이 뛰어나서 주방+욕실+세탁기까지 한 번에 해결
✓ 재구매 의사 100%, 집에 하나쯤 꼭 있어야 할 구성",1,https://phinf.pstatic.net/checkout.phinf/20250620_99/1750396498183MPB35_JPEG/KakaoTalk_20250620_092453123.jpg?type=f300_300,옵션: 다목적세정제 세트,한입 베이킹소다 2KG + 구연산 1KG + 과탄산소다 1KG 다목적세정제 세트
182,4,25.07.09.,came*****,"배송 빨라요. 용량을 소비자가 좋은가격으로  골고루 구입 선택할수 있으면
좋겠는데  1키로 2키로에 묶어서 까지
판매 또 그리 구입해야 단 몇프로라도
할인적용 시켜놓으니  갈수록  가족수는 줄어들고   과한 양들은  어디 적재하기도 부담시럽고  과탄산은 2키로 짜리  적은통에 소분하며 붓는데  와~~ 아주 독하더라구요  작은 얇은 비닐에 100g씩 소량해서 소비자가  5개 10개 선택 할수 있는 시스템도 있으면 좋겠네요
과한 양이  부담스러워  차라리 안쓰고 말지  하는 소비자가 더 많아요",0,https://phinf.pstatic.net/checkout.phinf/20250709_151/1752022634364L9Evx_JPEG/1000023232.jpg?type=f300_300,옵션: 다목적세정제 세트,한입 베이킹소다 2KG + 구연산 1KG + 과탄산소다 1KG 다목적세정제 세트
183,5,25.07.12.,kbh2*****,"배송이 빨라요.
소창행주 삶을때 사용하고, 찌든때 잘 제거되서 애용해요.
제조일자가 최근이네요.
시중보다 저렴해요",0,https://phinf.pstatic.net/checkout.phinf/20250712_70/1752309434160tSQRr_JPEG/1000007143.jpg?type=f300_300,옵션: 다목적세정제 세트,한입 베이킹소다 2KG + 구연산 1KG + 과탄산소다 1KG 다목적세정제 세트
184,4,25.07.13.,whdb******,만족합니다 세트구매하니  사용편리 함,0,https://phinf.pstatic.net/image.nmv/shopnbuyer_2025_07_13_2701/QXEnOi6zbH_01.jpg?type=ffn300_300,옵션: 다목적세정제 세트,한입 베이킹소다 2KG + 구연산 1KG + 과탄산소다 1KG 다목적세정제 세트
185,4,25.07.20.,dntm******,구성이 좋고 가격이 나쁘진 않아요. 효과는 아직 안써봐서 몰라요,0,https://phinf.pstatic.net/checkout.phinf/20250720_265/17529811161631gjTM_JPEG/1000028790.jpg?type=f300_300,옵션: 다목적세정제 세트,한입 베이킹소다 2KG + 구연산 1KG + 과탄산소다 1KG 다목적세정제 세트
186,5,25.07.20.,godl******,좋아요~ 많이 파세요~,0,https://phinf.pstatic.net/checkout.phinf/20250720_78/1752990160826pAHAX_JPEG/1752990136060.jpg?type=f300_300,옵션: 다목적세정제 세트,한입 베이킹소다 2KG + 구연산 1KG + 과탄산소다 1KG 다목적세정제 세트
187,5,25.07.18.,vita*******,믿고 구매하는 LG생활건강 제품이죠. 청소3종세트 추천받아 구매했어요,0,https://phinf.pstatic.net/checkout.phinf/20250718_168/1752844751278rKwMh_JPEG/1000018928.jpg?type=f300_300,옵션: 다목적세정제 세트,한입 베이킹소다 2KG + 구연산 1KG + 과탄산소다 1KG 다목적세정제 세트
188,5,25.07.01.,suin****,"저는 빨래할때 과탄산 소다와 세제
그리고 섬유린스용으로 구연산을 사용해요.

구연산이 떨어져서 네이버에 찿아보니
가격도 저렴하고 세트로 되어있어 얼른
구매했어요~♡
감사합니다~♡",0,https://phinf.pstatic.net/checkout.phinf/20250701_271/1751350483680UVdEi_JPEG/1751350474803.jpg?type=f300_300,옵션: 다목적세정제 세트,한입 베이킹소다 2KG + 구연산 1KG + 과탄산소다 1KG 다목적세정제 세트
189,5,25.07.17.,hwan******,"빠른 배송 감사합니다.
잘 사용중입니다.",0,https://phinf.pstatic.net/checkout.phinf/20250717_161/1752744520681zwlBD_JPEG/1000011132.jpg?type=f300_300,옵션: 다목적세정제 세트,한입 베이킹소다 2KG + 구연산 1KG + 과탄산소다 1KG 다목적세정제 세트
190,5,25.07.06.,anjy****,세트로 구매해서 다야하게 사용해요 주방세제로도 기름때 절대 사라지지 않아요 과탄산소다 뜨거운물에 녹여서 사요하면 애쓰지 않아도 돼요,0,https://phinf.pstatic.net/checkout.phinf/20250706_271/1751795445995kbjbr_JPEG/1751795434942.jpg?type=f300_300,옵션: 다목적세정제 세트,한입 베이킹소다 2KG + 구연산 1KG + 과탄산소다 1KG 다목적세정제 세트
191,5,25.07.08.,skys****,필요했던 세제 3개가 세트로 되어있어서 얼른 두매했어요! 편하게 주문하고 가격도 저렴해서 좋아요!,0,https://phinf.pstatic.net/checkout.phinf/20250708_29/1751942876461r9h9X_JPEG/IMG_1921.jpeg?type=f300_300,옵션: 다목적세정제 세트,한입 베이킹소다 2KG + 구연산 1KG + 과탄산소다 1KG 다목적세정제 세트
192,5,25.07.14.,love*******,수건에서 냄새가 나서 구매했어요 저렴하게 잘 샀네요,0,https://phinf.pstatic.net/checkout.phinf/20250714_11/1752458622391Jbpuh_JPEG/20250714_105814.jpg?type=f300_300,옵션: 다목적세정제 세트,한입 베이킹소다 2KG + 구연산 1KG + 과탄산소다 1KG 다목적세정제 세트
193,5,25.07.13.,ange********,"3제품 세트로 구매하니 저렴해서 좋네요~
하나씩 잘 쓰고있어요~",0,https://phinf.pstatic.net/checkout.phinf/20250713_48/17523366365766f4m8_JPEG/IMG_3181.JPG?type=f300_300,옵션: 다목적세정제 세트,한입 베이킹소다 2KG + 구연산 1KG + 과탄산소다 1KG 다목적세정제 세트
194,5,25.07.18.,ma****,흰옷 누런 때 지율려고 샀어요 때 잘 빠졌어요,0,https://phinf.pstatic.net/checkout.phinf/20250718_151/1752828534174BgQ9r_JPEG/image.jpg?type=f300_300,옵션: 다목적세정제 세트,한입 베이킹소다 2KG + 구연산 1KG + 과탄산소다 1KG 다목적세정제 세트
195,5,25.07.20.,mymy***,잘 쓰겠습니다 감사합니다 다음에도 구매를,0,https://phinf.pstatic.net/checkout.phinf/20250720_184/1753001402698hHTgM_JPEG/image.jpg?type=f300_300,옵션: 다목적세정제 세트,한입 베이킹소다 2KG + 구연산 1KG + 과탄산소다 1KG 다목적세정제 세트
196,5,25.07.20.,bbad****,배송도 빠르고 제품도 좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250720_209/1753005835379lcL9t_JPEG/1000002993.jpg?type=f300_300,옵션: 다목적세정제 세트,한입 베이킹소다 2KG + 구연산 1KG + 과탄산소다 1KG 다목적세정제 세트
197,5,25.07.15.,ss****,배송 빠르고 좋아요 자주 쓰는 제품이에요!,0,https://phinf.pstatic.net/checkout.phinf/20250715_18/1752588297228jMdjP_JPEG/IMG_9307.jpeg?type=f300_300,옵션: 다목적세정제 세트,한입 베이킹소다 2KG + 구연산 1KG + 과탄산소다 1KG 다목적세정제 세트
198,4,25.07.04.,wind****,배송 빠르고 구성이 가정에서 자주 사용하는 걸로 되어 있어서 좋아요.,0,https://phinf.pstatic.net/checkout.phinf/20250704_93/1751590129315Q1wmJ_JPEG/20250630_220610.jpg?type=f300_300,옵션: 다목적세정제 세트,한입 베이킹소다 2KG + 구연산 1KG + 과탄산소다 1KG 다목적세정제 세트
199,5,25.07.21.,se****,감사합니다 수고하세요,0,https://phinf.pstatic.net/checkout.phinf/20250721_165/1753068099142INqu9_JPEG/20250720_113830.jpg?type=f300_300,옵션: 다목적세정제 세트,한입 베이킹소다 2KG + 구연산 1KG + 과탄산소다 1KG 다목적세정제 세트
200,5,25.07.10.,autu*****,항상 쓰는 조합이라 뭐 말 할 것도 없지요. 좋습니다. 2번째 구매네요.,0,https://phinf.pstatic.net/checkout.phinf/20250710_126/17520778616967s1L6_JPEG/image.jpg?type=f300_300,옵션: 다목적세정제 세트,한입 베이킹소다 2KG + 구연산 1KG + 과탄산소다 1KG 다목적세정제 세트
